time(s)	cellId	rnti	lcid	packetSize
0.8515	3	3	3	5368
0.8515	5	4	3	6485
0.852	3	3	3	5368
0.852	5	4	3	6485
0.8525	3	3	3	5368
0.8525	5	4	3	6485
0.853	3	3	3	5368
0.853	5	4	3	5946
0.8535	3	3	3	5368
0.8535	5	4	3	5946
0.854	3	3	3	5368
0.854	5	4	3	6485
0.8545	3	3	3	4923
0.8545	5	4	3	6485
0.855	3	3	3	5368
0.855	5	4	3	5946
0.8555	3	3	3	5368
0.8555	5	4	3	6485
0.856	3	3	3	5368
0.856	5	4	3	6485
0.8565	3	3	3	1609
0.8565	5	4	3	6485
0.857	5	4	3	6485
0.8575	5	4	3	6485
0.858	5	4	3	6485
0.8585	5	4	3	6485
0.859	5	4	3	6485
0.8595	5	4	3	6485
0.86	5	4	3	6485
0.8605	5	4	3	6485
0.861	5	4	3	6485
0.8615	5	4	3	6485
0.862	5	4	3	6485
0.8625	5	4	3	6485
0.863	5	4	3	6485
0.8635	5	4	3	5946
0.864	5	4	3	6485
0.8645	5	4	3	6485
0.865	5	4	3	6485
0.8655	5	4	3	6485
0.866	5	4	3	6485
0.8665	5	4	3	4024
0.904	5	5	3	6485
0.9045	5	5	3	6485
0.905	5	5	3	6485
0.9055	5	5	3	6485
0.906	5	5	3	6485
0.9065	5	5	3	6485
0.907	5	5	3	6485
0.9075	5	5	3	6485
0.908	5	5	3	6485
0.9085	5	5	3	5946
0.909	5	5	3	6485
0.9095	5	5	3	6485
0.91	5	5	3	5946
0.9105	5	5	3	5946
0.911	5	5	3	6485
0.9115	5	5	3	6485
0.912	5	5	3	6485
0.9125	5	5	3	6485
0.913	5	5	3	6485
