Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.06	1	0	6	-108.316
0.06	1	0	9	-109.928
0.06	1	0	12	-110.333
0.06	1	0	15	-112.144
0.06	1	0	18	-111.712
0.06	1	0	21	-113.687
0.06	1	0	24	-109.714
0.06	1	0	27	-107.861
0.06	1	0	30	-110.066
0.06	3	0	4	-113.828
0.06	3	0	7	-96.2002
0.06	3	0	10	-106.523
0.06	3	0	13	-112.759
0.06	3	0	16	-107.008
0.06	3	0	19	-110.182
0.06	3	0	22	-114.926
0.06	3	0	25	-115.525
0.06	3	0	28	-107.346
0.06	3	0	31	-100.317
0.06	5	0	5	-93.4123
0.06	5	0	8	-92.0396
0.06	5	0	11	-102.569
0.06	5	0	14	-102.507
0.06	5	0	17	-110.871
0.06	5	0	20	-97.6195
0.06	5	0	23	-111.895
0.06	5	0	26	-85.9646
0.06	5	0	29	-107.965
0.06	5	0	32	-115.839
0.062	1	0	3	-114.19
0.062	1	0	6	-108.316
0.062	1	0	9	-109.928
0.062	1	0	12	-110.333
0.062	1	0	15	-112.144
0.062	1	0	18	-111.712
0.062	1	0	21	-113.687
0.062	1	0	24	-109.714
0.062	1	0	27	-107.861
0.062	1	0	30	-110.066
0.0635	5	0	5	-93.4123
0.0635	5	0	8	-92.0396
0.0635	5	0	11	-102.569
0.0635	5	0	14	-102.507
0.0635	5	0	17	-110.871
0.0635	5	0	20	-97.6195
0.0635	5	0	23	-111.895
0.0635	5	0	26	-85.9646
0.0635	5	0	29	-107.965
0.0635	5	0	32	-115.839
0.064	3	0	4	-113.828
0.064	3	0	7	-96.2002
0.064	3	0	10	-106.523
0.064	3	0	13	-112.759
0.064	3	0	16	-107.008
0.064	3	0	19	-110.182
0.064	3	0	22	-114.926
0.064	3	0	25	-115.525
0.064	3	0	28	-107.346
0.064	3	0	31	-100.317
0.065	1	0	3	-114.19
0.065	1	0	6	-108.316
0.065	1	0	9	-109.928
0.065	1	0	12	-110.333
0.065	1	0	15	-112.144
0.065	1	0	18	-111.712
0.065	1	0	21	-113.687
0.065	1	0	24	-109.714
0.065	1	0	27	-107.861
0.065	1	0	30	-110.066
0.065	3	0	4	-113.828
0.065	3	0	7	-96.2002
0.065	3	0	10	-106.523
0.065	3	0	13	-112.759
0.065	3	0	16	-107.008
0.065	3	0	19	-110.182
0.065	3	0	22	-114.926
0.065	3	0	25	-115.525
0.065	3	0	28	-107.346
0.065	3	0	31	-100.317
0.065	5	0	5	-93.4123
0.065	5	0	8	-92.0396
0.065	5	0	11	-102.569
0.065	5	0	14	-102.507
0.065	5	0	17	-110.871
0.065	5	0	20	-97.6195
0.065	5	0	23	-111.895
0.065	5	0	26	-85.9646
0.065	5	0	29	-107.965
0.065	5	0	32	-115.839
0.066	1	0	3	-114.19
0.066	1	0	6	-108.316
0.066	1	0	9	-109.928
0.066	1	0	12	-110.333
0.066	1	0	15	-112.144
0.066	1	0	18	-111.712
0.066	1	0	21	-113.687
0.066	1	0	24	-109.714
0.066	1	0	27	-107.861
0.066	1	0	30	-110.066
0.0685	5	0	5	-93.4123
0.0685	5	0	8	-92.0396
0.0685	5	0	11	-102.569
0.0685	5	0	14	-102.507
0.0685	5	0	17	-110.871
0.0685	5	0	20	-97.6195
0.0685	5	0	23	-111.895
0.0685	5	0	26	-85.9646
0.0685	5	0	29	-107.965
0.0685	5	0	32	-115.839
0.0695	3	0	4	-113.828
0.0695	3	0	7	-96.2002
0.0695	3	0	10	-106.523
0.0695	3	0	13	-112.759
0.0695	3	0	16	-107.008
0.0695	3	0	19	-110.182
0.0695	3	0	22	-114.926
0.0695	3	0	25	-115.525
0.0695	3	0	28	-107.346
0.0695	3	0	31	-100.317
0.07	1	0	3	-114.19
0.07	1	0	6	-108.316
0.07	1	0	9	-109.928
0.07	1	0	12	-110.333
