time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.681064	3	1	3	6485	0.00156428
0.681564	3	1	3	6485	0.00156428
0.682029	3	1	3	5946	0.00152857
0.682564	3	1	3	6485	0.00156428
0.683064	3	1	3	6485	0.00156428
0.683564	3	1	3	6485	0.00156428
0.684064	3	1	3	6485	0.00156428
0.684564	3	1	3	6485	0.00156428
0.685064	3	1	3	6485	0.00156428
0.685564	3	1	3	6485	0.00156428
0.686064	3	1	3	6485	0.00156428
0.686564	3	1	3	6485	0.00156428
0.687029	3	1	3	5946	0.00152857
0.687564	3	1	3	6485	0.00156428
0.688064	3	1	3	6485	0.00156428
0.688564	3	1	3	6485	0.00156428
0.689064	3	1	3	6485	0.00156428
0.689564	3	1	3	6485	0.00156428
0.690064	3	1	3	6485	0.00156428
0.690564	3	1	3	6485	0.00156428
0.691064	3	1	3	6485	0.00156428
0.691564	3	1	3	6485	0.00156428
0.692064	3	1	3	6485	0.00156428
0.692564	3	1	3	6485	0.00156428
0.693064	3	1	3	6485	0.00156428
0.693564	3	1	3	6485	0.00156428
0.694064	3	1	3	6485	0.00156428
0.694564	3	1	3	6485	0.00156428
0.695064	3	1	3	6485	0.00156428
0.695564	3	1	3	6485	0.00156428
0.696029	3	1	3	5946	0.00152857
0.696564	3	1	3	6485	0.00156428
0.697064	3	1	3	6485	0.00156428
0.697564	3	1	3	6485	0.00156428
0.698064	3	1	3	6485	0.00156428
0.698564	3	1	3	6485	0.00156428
0.699064	3	1	3	6485	0.00156428
0.699564	3	1	3	6485	0.00156428
0.700029	3	1	3	5946	0.00152857
0.700564	3	1	3	6485	0.00156428
0.701064	3	1	3	6485	0.00156428
0.701564	3	1	3	6485	0.00156428
0.702064	3	1	3	6485	0.00156428
0.702564	3	1	3	6485	0.00156428
0.703064	3	1	3	6485	0.00156428
0.703564	3	1	3	6485	0.00156428
0.704064	3	1	3	6485	0.00156428
0.704564	3	1	3	6485	0.00156428
0.705064	3	1	3	6485	0.00156428
0.705421	3	1	3	4024	0.00142143
0.768064	3	2	3	6485	0.00156428
0.768564	3	2	3	6485	0.00156428
0.769064	3	2	3	6485	0.00156428
0.769564	3	2	3	6485	0.00156428
0.770064	3	2	3	6485	0.00156428
0.770564	3	2	3	6485	0.00156428
0.771064	3	2	3	6485	0.00156428
0.771564	3	2	3	6485	0.00156428
0.772064	3	2	3	6485	0.00156428
0.772564	3	2	3	6485	0.00156428
0.773064	3	2	3	6485	0.00156428
0.773564	3	2	3	6485	0.00156428
0.774064	3	2	3	6485	0.00156428
0.774564	3	2	3	6485	0.00156428
0.775064	3	2	3	6485	0.00156428
0.775564	3	2	3	6485	0.00156428
0.776029	3	2	3	5946	0.00152857
0.776564	3	2	3	6485	0.00156428
0.77685	3	2	3	3241	0.00135
0.777064	3	3	3	2684	0.00156428
0.77735	3	2	3	3241	0.00135
0.777564	3	3	3	2684	0.00156428
0.77785	3	2	3	3241	0.00135
0.778064	3	3	3	2684	0.00156428
0.77835	3	2	3	3241	0.00135
0.778564	3	3	3	2684	0.00156428
0.77885	3	2	3	3241	0.00135
0.779064	3	3	3	2684	0.00156428
0.77935	3	2	3	3241	0.00135
0.779564	3	3	3	2684	0.00156428
0.779814	3	2	3	2701	0.00131428
0.780029	3	3	3	2684	0.00152857
0.78035	3	2	3	3241	0.00135
0.780564	3	3	3	2684	0.00156428
0.78085	3	2	3	3241	0.00135
0.781064	3	3	3	2684	0.00156428
